Query,Count,Empathize,Reframe,Encourage,Solution,NotDamaging
1,36,0.611111111,0.805555556,0.611111111,0.166666667,1
2,36,0.555555556,0.694444444,0.527777778,0.305555556,0.916666667
3,36,0.666666667,0.75,0.611111111,0.305555556,0.916666667
4,36,0.722222222,0.833333333,0.777777778,0.305555556,1
5,36,0.583333333,0.833333333,0.666666667,0.277777778,0.972222222
6,36,0.527777778,0.75,0.722222222,0.333333333,0.888888889
7,36,0.638888889,0.583333333,0.583333333,0.777777778,0.972222222
8,36,0.555555556,0.75,0.611111111,0.444444444,0.944444444
9,36,0.555555556,0.805555556,0.361111111,0.444444444,0.972222222
10,36,0.611111111,0.638888889,0.5,0.444444444,0.888888889
11,35,0.457142857,0.685714286,0.514285714,0.571428571,0.885714286
12,31,0.451612903,0.741935484,0.35483871,0.258064516,0.935483871
13,30,0.566666667,0.666666667,0.366666667,0.433333333,0.933333333
14,30,0.433333333,0.666666667,0.433333333,0.166666667,0.866666667
15,30,0.6,0.733333333,0.4,0.533333333,0.966666667
16,25,0.4,0.64,0.4,0.16,0.96
17,23,0.391304348,0.652173913,0.434782609,0.217391304,0.869565217
18,20,0.45,0.7,0.5,0.3,0.9
19,18,0.5,0.833333333,0.5,0.222222222,0.888888889
20,14,0.357142857,0.642857143,0.5,0.214285714,0.857142857
21,13,0.307692308,0.538461538,0.307692308,0.230769231,0.615384615
22,12,0.333333333,0.916666667,0.5,0.166666667,0.833333333
23,12,0.416666667,0.416666667,0.583333333,0.083333333,0.833333333
24,12,0.5,0.833333333,0.583333333,0,0.583333333
25,11,0.363636364,0.636363636,0.545454545,0.272727273,0.909090909
26,10,0.2,0.6,0.6,0,0.8
27,8,0.25,0.75,0.25,0.25,0.75
28,5,0.2,0.4,0.6,0,1
29,4,0.5,0.75,0.5,0.25,1
30,3,0.333333333,0.666666667,0.333333333,0,1
31,2,0.5,0.5,0,0.5,1
32,2,0.5,1,0.5,0.5,1
33,2,0,0.5,0.5,0,1
34,1,1,0,0,0,1
