Query,Count,Empathize,Reframe,Encourage,Solution,NotDamaging
1,18,0.722222222,0.833333333,0.666666667,0.111111111,1
2,18,0.555555556,0.722222222,0.666666667,0.333333333,0.944444444
3,18,0.777777778,0.666666667,0.555555556,0.333333333,0.833333333
4,18,0.833333333,0.888888889,0.833333333,0.277777778,1
5,18,0.611111111,0.777777778,0.611111111,0.388888889,0.944444444
6,18,0.611111111,0.666666667,0.722222222,0.277777778,0.888888889
7,18,0.722222222,0.5,0.555555556,0.666666667,1
8,18,0.555555556,0.777777778,0.611111111,0.5,0.944444444
9,18,0.611111111,0.777777778,0.222222222,0.444444444,0.944444444
10,18,0.611111111,0.722222222,0.277777778,0.277777778,0.888888889
11,18,0.5,0.611111111,0.277777778,0.444444444,0.888888889
12,16,0.4375,0.75,0.3125,0.1875,0.875
13,16,0.75,0.6875,0.375,0.5,0.9375
14,16,0.5,0.625,0.375,0.125,0.875
15,16,0.75,0.75,0.375,0.625,1
16,14,0.5,0.714285714,0.428571429,0.071428571,1
17,13,0.538461538,0.692307692,0.384615385,0.153846154,0.846153846
18,11,0.636363636,0.727272727,0.454545455,0.181818182,1
19,9,0.666666667,0.888888889,0.666666667,0.111111111,1
20,7,0.571428571,0.571428571,0.714285714,0.142857143,0.857142857
21,6,0.5,0.5,0.333333333,0.166666667,0.333333333
22,6,0.5,1,0.5,0.166666667,0.666666667
23,6,0.5,0.5,0.833333333,0.166666667,0.666666667
24,6,0.5,0.833333333,0.666666667,0,0.333333333
25,5,0.4,0.8,0.4,0.4,0.8
26,4,0,0.5,0.75,0,0.75
27,4,0.25,0.75,0.5,0,1
28,3,0,0,0.333333333,0,1
29,3,0.666666667,0.666666667,0.666666667,0.333333333,1
30,2,0.5,1,0.5,0,1
31,1,1,0,0,1,1
32,1,1,1,0,0,1
33,1,0,0,0,0,1
34,1,1,0,0,0,1
