Query,Count,Empathize,Reframe,Encourage,Solution,NotDamaging
1,18,0.5,0.777777778,0.555555556,0.222222222,1
2,18,0.555555556,0.666666667,0.388888889,0.277777778,0.888888889
3,18,0.555555556,0.833333333,0.666666667,0.277777778,1
4,18,0.611111111,0.777777778,0.722222222,0.333333333,1
5,18,0.555555556,0.888888889,0.722222222,0.166666667,1
6,18,0.444444444,0.833333333,0.722222222,0.388888889,0.888888889
7,18,0.555555556,0.666666667,0.611111111,0.888888889,0.944444444
8,18,0.555555556,0.722222222,0.611111111,0.388888889,0.944444444
9,18,0.5,0.833333333,0.5,0.444444444,1
10,18,0.611111111,0.555555556,0.722222222,0.611111111,0.888888889
11,17,0.411764706,0.764705882,0.764705882,0.705882353,0.882352941
12,15,0.466666667,0.733333333,0.4,0.333333333,1
13,14,0.357142857,0.642857143,0.357142857,0.357142857,0.928571429
14,14,0.357142857,0.714285714,0.5,0.214285714,0.857142857
15,14,0.428571429,0.714285714,0.428571429,0.428571429,0.928571429
16,11,0.272727273,0.545454545,0.363636364,0.272727273,0.909090909
17,10,0.2,0.6,0.5,0.3,0.9
18,9,0.222222222,0.666666667,0.555555556,0.444444444,0.777777778
19,9,0.333333333,0.777777778,0.333333333,0.333333333,0.777777778
20,7,0.142857143,0.714285714,0.285714286,0.285714286,0.857142857
21,7,0.142857143,0.571428571,0.285714286,0.285714286,0.857142857
22,6,0.166666667,0.833333333,0.5,0.166666667,1
23,6,0.333333333,0.333333333,0.333333333,0,1
24,6,0.5,0.833333333,0.5,0,0.833333333
25,6,0.333333333,0.5,0.666666667,0.166666667,1
26,6,0.333333333,0.666666667,0.5,0,0.833333333
27,4,0.25,0.75,0,0.5,0.5
28,2,0.5,1,1,0,1
29,1,0,1,0,0,1
30,1,0,0,0,0,1
31,1,0,1,0,0,1
32,1,0,1,1,1,1
33,1,0,1,1,0,1
