index,month,threads,users
1,2014-01-01,280,363
2,2014-02-01,255,393
3,2014-03-01,322,407
4,2014-04-01,294,372
5,2014-05-01,291,387
6,2014-06-01,252,368
7,2014-07-01,268,396
8,2014-08-01,290,399
9,2014-09-01,253,367
10,2014-10-01,339,440
11,2014-11-01,270,414
12,2014-12-01,309,462
13,2015-01-01,366,560
14,2015-02-01,354,511
15,2015-03-01,329,495
16,2015-04-01,331,477
17,2015-05-01,317,472
18,2015-06-01,340,487
19,2015-07-01,271,479
20,2015-08-01,270,496
21,2015-09-01,246,478
22,2015-10-01,259,479
23,2015-11-01,222,447
24,2015-12-01,253,483
25,2016-01-01,273,477
26,2016-02-01,315,501
27,2016-03-01,306,485
28,2016-04-01,292,512
29,2016-05-01,313,495
30,2016-06-01,304,486
31,2016-07-01,354,474
32,2016-08-01,313,504
33,2016-09-01,280,492
34,2016-10-01,299,488
35,2016-11-01,276,470
36,2016-12-01,349,519
37,2017-01-01,407,683
38,2017-02-01,371,571
39,2017-03-01,399,808
40,2017-04-01,386,720
41,2017-05-01,404,600
42,2017-06-01,409,614
43,2017-07-01,425,760
44,2017-08-01,482,770
45,2017-09-01,385,730
46,2017-10-01,354,697
47,2017-11-01,396,735
48,2017-12-01,380,766
